title	id	price	clicks	unpaid clicks	sale price	condition	availability	Dynamic Remarketing - active	Dynamic Remarketing - disapproved or invalid	Free listings - active	Free listings - disapproved or invalid	Shopping ads - active	Shopping ads - disapproved or invalid	channel	feed label	language	additional image link	age group	brand	color	cost of goods sold	custom label 0	description	gender	google product category	gtin	identifier exists	image link	item group id	link	mpn	product type	sell on google quantity	shipping weight	size
Sorrento Wool Quilts 430Gsm Light Loft Double | OMF	shopify_AU_7610966540485_42698527244485	144.95 AUD	0	0			in stock	AU		AU		AU		Online	AU	en			Bambi			Receiving Clicks	"The Sorrento Wool Quilt is filled with premium Australian new wool and encased in a soft cotton cover. Choose from two available lofts,  430gsm. Backed by a 5-year guarantee and Woolmark Black label, sleep comfortably in eco-friendly bedding."		home & garden > linens & bedding > bedding > quilts & comforters			https://cdn.shopify.com/s/files/1/0523/6729/4661/files/1J7C9993_c1178114-86eb-41de-9ed5-7c88f121f438.jpg?v=1705327227		https://www.omf.net.au/products/sorrento-wool-quilts-430gsm-light-loft-db?variant=42698527244485&currency=AUD		Quilt	10	3000 g	
Amalfi Throw Rug Green | OMF	shopify_AU_7563155865797_42545177886917	103.00 AUD	0	1		new	in stock	AU		AU		AU		Online	AU	en			Bianca			Receiving Clicks	"Add a vibrant pop to your décor with the Amalfi Olive Throw! Perfect for dressin' up your sofa or bed, these cosy throws come in three eye-catching shades: charcoal, cream, and olive. Our Amalfi throws are crafted from the comfiest yarns around, for a look and feel that's out of this world."		home & garden > linens & bedding > bedding > blankets		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/TRAMAG.jpg?v=1702053575		https://www.omf.net.au/products/amalfi-throw-rug-130x160cm-green-throw-rug?variant=42545177886917&currency=AUD		Blanket	250	0 kg	
Heston 300TC Sheet Set White Split King | OMF	shopify_AU_7558642860229_42530420621509	159.00 AUD	0	3		new	in stock	AU		AU		AU		Online	AU	en			Bianca			Receiving Clicks	"Weaved in an easy care fabric, our 300 thread count cotton percale sheets are incredibly soft, smooth, and durable. Smartly cuffed and piped, these sheets come in a range of colors to jazz up any bedroom. The fitted sheet has a wall depth of 40cm, so it'll fit most mattresses with ease."		home & garden > linens & bedding > bedding > bed sheets		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/1S3SWKS3SWD3SWQ3SWK3SWSK3SWSK3WSQ3WQMWKMW.jpg?v=1702053338		https://www.omf.net.au/products/heston-300-thread-count-sheet-set-white-split-king?variant=42530420621509&currency=AUD		bed sheets	103	0 kg	
Fletcher Flannelette Sheet Set Steel Blue Double | OMF	shopify_AU_7558642663621_42530420424901	94.00 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en			Bianca			Receiving Clicks	"Snuggle up with our flannelette sheet sets. Crafted from premium brushed cotton, they're luxuriously soft, cosy and super durable. Plus, they come with a smart cuff & piping, and a 40cm wall depth for easy fitting. Check out our rainbow of colours!"		home & garden > linens & bedding > bedding > bed sheets		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/1SFLESBKSFLESBDFLESBQFLESBKFLESB_aadd6068-d99b-4fca-a38d-609ac3935bf5.jpg?v=1702139593		https://www.omf.net.au/products/fletcher-170gsm-cotton-twill-flannelette-steel-blue-db?variant=42530420424901&currency=AUD		bed sheets	50	0 kg	
Essentials Tufted Queen Bed Frame with USB | OMF	shopify_AU_6955045880005_40788419215557	498.00 AUD	35	10	448.00 AUD		in stock	AU		AU		AU		Online	AU	en			Original Mattress Factory Australia			Receiving Clicks	"Shop our essential tufted bed frame, it allows you to charge your go-to gadgets such as tablets and phones while you sleep.  "		furniture > beds & accessories > beds & bed frames			https://cdn.shopify.com/s/files/1/0523/6729/4661/products/OM-FPPOPE-14-6.jpg?v=1700066275		https://www.omf.net.au/products/essential-beige-tufted-qn-bed-frame-with-usb-port?variant=40788419215557&currency=AUD		Bed Frame		0 kg	
Royal Comfort 800Gsm Silk Quilt - Double | OMF	shopify_AU_7590414155973_42625531969733	76.95 AUD	2	1		new	in stock	AU		AU		AU		Online	AU	en			Australian Business Mobiles			Receiving Clicks	"Stay cozy this winter with Royal Comfort's Silk Quilt - Double. Hypoallergenic and anti-dust mite, it's filled with a silk and microfibre blend and encased in 100% cotton for extra softness and breathability."		home & garden > linens & bedding > bedding > quilts & comforters		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/10002937_1c.jpg?v=1704848501		https://www.omf.net.au/products/royal-comfort-800gsm-silk-quilt-db?variant=42625531969733&currency=AUD		quilt covers	74	3.4 kg	
Royal Comfort 1200 Thread Count Damask Stripe Cotton Blend Sheet Set King Charcoal Grey | OMF	shopify_AU_7552840007877_42520699535557	69.00 AUD	0	1		new	in stock	AU		AU		AU		Online	AU	en			Australian Business Mobiles			Receiving Clicks	"Indulge yourself in Royal Comforts luxurious, 1200 Thread Count Damask Cotton Blend Sheet Set. Finely woven with a silky-smooth sateen finish, these wrinkle-resistant beauties epitomize luxury and are the perfect fit for your classic, modern or glamorous bedroom. Features: - Brand: Royal Comfort - Glamorous damask stripe for an ultra-luxe look - Beautiful and silky-soft 1200 Thread Count sateen finish - Designed to fit an Australian Queen or King mattress - Material: 60% cotton, 40% polyester - Thread Count: 1200 Online Only"		home & garden > linens & bedding > bedding > bed sheets		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/231664_1c.jpg?v=1700066796		https://www.omf.net.au/products/royal-comfort-1200-thread-count-damask-stripe-cotton-blend-sheet-set-king-charcoal-grey?variant=42520699535557&currency=AUD		bed sheets	320	0 kg	
Drake Super King Quilt Cover Set Green | OMF	shopify_AU_7564202213573_42549482029253	194.00 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en			Bianca			Receiving Clicks	"Fab-u-lous Drake super king quilt cover set is printed on luxe cotton sateen with a piped edge, sporting a mod geometrical pattern in an oh-so-trendy green. The tones of green mix perfectly for a gorgeous backdrop so the whites pop!"		home & garden > linens & bedding > bedding > duvet covers		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/SDRADDRAQDRAKDRASKDRA-1_15a0bb61-d4c7-494b-9e88-3f2db8b00a04.jpg?v=1702053625		https://www.omf.net.au/products/drake-quilt-cover-set-green-sk?variant=42549482029253&currency=AUD		quilt covers	120	0 kg	
Amorette Queen Bedspread Set Blue | OMF	shopify_AU_7564202836165_42549482881221	299.00 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en			Bianca			Receiving Clicks	"A head-turning French Provincial-style double bedspread with classic blue hues set against a pristine white backdrop. The bedspread coordinates with its stripe-printed reverse side, plus euro pillowcases and a cushion. Bask in its scalloped-edge charm! "		home & garden > linens & bedding > bedding > quilts & comforters		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/SAMOKSAMODAMOQAMOKAMOSKAMO-1_e1bc19fe-d3ac-4c5f-8bc7-e0c4627969b8.jpg?v=1702053663		https://www.omf.net.au/products/amorette-bedspread-set-blue-qn?variant=42549482881221&currency=AUD		bedspreads	97	0 kg	
Royal Comfort Bamboo Cooling 2000TC Sheet Set Queen Mid Blue | OMF	shopify_AU_7552843153605_42520703434949	52.95 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en			Australian Business Mobiles			Receiving Clicks	"Upgrade your bedroom and indulge in a deep and restful sleep with the 2000 Thread Count Cooling Bamboo Sheet Set, designed by Royal Comfort. With a luxury blend of 30% natural bamboo and 70% premium microfibre, it has been designed to be satin smooth and lightweight, offering itself as a practical option for year-round comfort. The bamboo fibres in this Bamboo Rich Sheet Set are expertly crafted into a natural, environmentally friendly, temperature-regulating and durable fabric that works to ensure moisture wicking, leading to a comfortable sleep environment. The bamboo fibres inherent thermal-regulating properties guarantee that you keep warm in winter and cool in summer. Alongside this, the Bamboo Rich Sheet is hypoallergenic, anti-microbial and odour-resistant, making it a great product for those who suffer from allergies. With this sheet sets attractive, silken lustre, and its premium bamboo rich combination, experience unmatched comfort and style with the Pure Soft Bamboo Rich Sheet Set, designed by Royal Comfort. Features: - Brand: Royal Comfort - Combines luxurious comfort and contemporary style - Opulent 2000 thread count - 30% natural bamboo and 70% premium microfibre blend - Silky feel and soft touch finish - Highly-breathable with moisture-wicking properties - Thermo-regulating properties to keep you cool in summer and warm in winter - Lasting vibrancy of colour - Available Colours: White, Aqua, Denim, Frost, Light Blue, Lilac Grey, Mid Blue, Peach, Rust, Olive, Pearl Stone, Mid Grey (Iron), Charcoal, Natural and Royal Blue - Available Sizes: Single, King Single, Double, Queen and King Size, Dimensions and Package Contents: Single: - 1 x Flat Sheet: 180cm x 254cm - 1 x Fitted Sheet: 91cm x 193cm + 40cm - 1 x Pillowcase: 48cm x 74cm King Single: - 1 x Flat Sheet: 200cm x 260cm - 1 x Fitted Sheet: 107cm x 203cm + 40cm - 1 x Pillowcase: 48cm x 74cm Double: - 1 x Flat Sheet: 228cm x 254cm - 1 x Fitted Sheet: 137cm x 193cm + 40cm - 2 x Pillowcases: 48cm x 74cm Queen: - 1 x Flat Sheet: 245cm x 274cm - 1 x Fitted Sheet: 152cm x 203cm + 40cm - 2 x Pillowcases: 48cm x 74cm King: - 1 x Flat Sheet: 260cm x 275cm - 1 x Fitted Sheet: 182cm x 203cm + 40cm - 2 x Pillowcases: 48cm x 74cm"		home & garden > linens & bedding > bedding > bed sheets		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/205640_1.jpg?v=1704721141		https://www.omf.net.au/products/royal-comfort-bamboo-cooling-2000tc-sheet-set-queen-mid-blue?variant=42520703434949&currency=AUD		bed sheets	448	0 kg	
