title	id	price	clicks	unpaid clicks	sale price	condition	availability	Dynamic Remarketing - active	Dynamic Remarketing - disapproved or invalid	Free listings - active	Free listings - disapproved or invalid	Shopping ads - active	Shopping ads - disapproved or invalid	channel	feed label	language	additional image link	brand	color	cost of goods sold	custom label 0	description	gender	google product category	identifier exists	image link	item group id	link	product type	sell on google quantity	shipping weight	size
Refresh Single Mattress Firm | OMF	shopify_AU_7488126025925_42359471603909	2646.00 AUD	0	0	1217.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	Experience unmatched comfort with OMF's Refresh Single Mattress Firm. Ergonomically designed for those who prefer a more structured sleep surface. Invest for better sleep tonight.	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/RefreshFirmFA_8961ac4d-293a-49f0-80f5-d16f84bc9a32.png?v=1695054802		https://www.omf.net.au/products/refresh-single-mattress-firm?variant=42359471603909&currency=AUD	Mattress		0 kg	
Byron Support Double Mattress | OMF	shopify_AU_7492107370693_42373338366149	2846.00 AUD	3	0	1309.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Experience the comfort of the Byron Support Mattress for a Double Bed from OMF, designed for ultimate sleep and relaxation. Shop today to transform your sleep experience!"	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/ByronSupportFA_8464e408-951e-4c1d-a84f-a6deb35355a4.png?v=1699461616		https://www.omf.net.au/products/byron-support-db-mattress?variant=42373338366149&currency=AUD	Mattress		0 kg	
Refresh Medium Double Mattress | OMF	shopify_AU_7507346030789_42422221373637	2846.00 AUD	7	1	1309.00 AUD		in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Experience optimal comfort with our Refresh Medium Double Mattress from OMF. High-quality and supportive for peaceful sleep. Upgrade your sleep quality today.
"	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/RefreshMediumFA_ff408146-271f-4a08-9112-23efb1fa6d6c.png?v=1697646985		https://www.omf.net.au/products/refresh-medium-db-mattress?variant=42422221373637&currency=AUD	Mattress		0 kg	
Ezy Button Midnight Grey Queen Bedhead | OMF	shopify_AU_7345979949253_41960785150149	398.00 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/EzyButtons_BH_SG_MG_01_49a2ed51-d520-444f-a6bf-ab2691b6b27b.jpg?v=1699547907	Original Mattress Factory Australia			Receiving Clicks	"For a stylish, contemporary look, simply add this Button style Bed Head to any of our Steelstrong bases. Available in 3 colors. Order online today!"		furniture > beds & accessories > headboards & footboards	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/EzyButtons_BH_SG_MG_02_2ce6348f-b0e5-4460-9717-2cc8db331d27.jpg?v=1699547906		https://www.omf.net.au/products/ezy-button-midnight-grey-bedhead?variant=41960785150149&currency=AUD	Bedhead		0 kg	
iContour GT8 King Mattress | OMF	shopify_AU_7494176374981_42378042802373	498.00 AUD	5	1		new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Experience restful nights with the iContour GT8 King Size Mattress from OMF. Boasting advanced technology for optimal comfort, it's ideal for those prioritizing sleep quality. Try the difference today.
"	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/GT8Styled-v3_7352a39c-844a-4c08-908f-3f93ff5cfca4.png?v=1699461738		https://www.omf.net.au/products/gt8-kg-mattress?variant=42378042802373&currency=AUD	Mattress		17.1 kg	
Platform Super King Base Grey | OMF	shopify_AU_7544728715461_42500851564741	1198.00 AUD	2	3	998.00 AUD		in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Platform_Std_SK_RA_01_47934570-ed1f-47bb-b199-f56714a024ed.jpg?v=1704904686,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Platform_Std_K_FT_01_ee753d07-b953-4117-90a6-d6100bde4ebe.jpg?v=1704904687,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Platform_Std_K_RA_01_51ec414c-dad0-488a-a616-d5c1bcd22c50.jpg?v=1704904688	Original Mattress Factory Australia	Grey		Receiving Clicks	The Premium Platform Base features a solid timber construction with a foam comfort layer & quality craftsmanship. The perfect ensemble bed base. Order online today!		furniture > beds & accessories > beds & bed frames		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Platform_Std_SK_FT_01_63e7d358-1694-4f76-a95d-2de6624eeb48.jpg?v=1704904684	shopify_AU_7544728715461	https://www.omf.net.au/products/premium-platform-sk-base?variant=42500851564741&currency=AUD	Beds & Bases		0 kg	
Cool Jacquard Plus Long Single Mattress Protector Pack | OMF	shopify_AU_7526297796805_42466687353029	159.95 AUD	0	0			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/CoolJacquardProtectorSetFolded_5a4866b3-a546-4b47-bcd0-d39a7d82b429.jpg?v=1698684074,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/CoolJacquardPillowProtectorStyled_97a8aef5-436a-4195-85df-daef6046b839.jpg?v=1698684075,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/CoolJacquardMattProtectorDetail_16d8ff9b-b49b-468c-8472-2b0fa9e32445.jpg?v=1698684076,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/CoolJacquardMattProtectorDetail2_fc13d91a-97fb-454f-acac-a9e51f41b0b2.jpg?v=1698684078	Original Mattress Factory Australia		69.00 AUD	Receiving Clicks	"Protect your mattress with the Cool Jacquard Plus Long Single Mattress Protector Pack from OMF. Ensures optimal hygiene and extends mattress lifespan. Purchase for a worry-free sleep.
"		home & garden > linens & bedding > bedding > mattress protectors		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/CoolJacquard_05e995af-e806-4d47-a1a4-1104a1c4499a.png?v=1698684073		https://www.omf.net.au/products/cool-jacquard-plus-long-single-mattress-protector-pack?variant=42466687353029&currency=AUD	Mattress Protector		0 kg	
Wraparound Buttons Upholstered Super King Bedhead | OMF	shopify_AU_7544755323077_42501000462533	898.00 AUD	0	1		new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia	Graphite		Receiving Clicks	"Experience luxury with the Premium Buttons Upholstered Bedhead in a choice of designer colours from OMF. Crafted for comfort and style with top-quality materials, it is an elegant addition to any bedroom. Buy yours today."		furniture > beds & accessories > headboards & footboards	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/FSButtons_BH_KG_CH_02_f502a76b-f273-4a0b-a330-fa5e454e96c9.jpg?v=1699548392		https://www.omf.net.au/products/premium-buttons-upholstered-sk-bedhead?variant=42501000462533&currency=AUD	Bedhead		0 kg	
Memory Foam Pillow Firm | OMF	shopify_AU_7589215797445_42620105326789	149.00 AUD	4	0			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/memoryfirmpillowcover.jpg?v=1702917244	Original Mattress Factory Australia			Receiving Clicks	"Experience ultimate comfort with OMF's Memory Foam Plush Pillow, designed for a rejuvenating night's sleep. Perfect addition to your bedtime essentials. Order for a restful slumber.
"		home & garden > linens & bedding > bedding > pillows		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Firm_e7c465c4-737f-48f8-9455-392f876f9f17.png?v=1702917242		https://www.omf.net.au/products/memory-foam-firmpillow?variant=42620105326789&currency=AUD	Pillow		0 kg	
Elegance Soft King Mattress | OMF	shopify_AU_7492983488709_42375746093253	3848.00 AUD	6	1	1501.00 AUD		in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	Experience ultimate comfort with OMF's Elegance Soft King Mattress. This premium bed is designed to offer exceptional support for a peaceful sleep. Feel the difference today.	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/ElegancePlushFA_39e880e1-c66f-4cf8-934f-984c650bd03b.png?v=1695918998		https://www.omf.net.au/products/elegance-soft-kg-mattress?variant=42375746093253&currency=AUD	Mattress	2	0 kg	
